Metabolites,min_glc,max_glc,min_mets_glc,max_mets_glc,min_lacD,max_lacD,min_ac,max_ac,min_etoh,max_etoh
LC_glycogen_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_glycogenn1_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_gthrd_c,-13.8155105579643,-2.99573227355399,-5.87813586180098,-4.34126864220171,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_gtp_c,-13.8155105579643,-2.99573227355399,-8.0453791394751,-6.97616383692779,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_h_c,-17.2693881974553,-17.2693881974553,-17.2693881974553,-17.2693881974553,-17.2693881974553,-17.2693881974553,-17.2693881974553,-17.2693881974553,-17.2693881974553,-17.2693881974553
LC_h2o_c,0,0,0,0,0,0,0,0,0,0
LC_h2o2_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_his-L_c,-13.8155105579643,-2.99573227355399,-10.8554054620534,-8.89043315222967,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_iasp_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_icit_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_ile-L_c,-13.8155105579643,-2.99573227355399,-11.0061078626018,-9.90749557393367,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_lac-D_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_leu-L_c,-13.8155105579643,-2.99573227355399,-9.1619312327685,-9.00300105220694,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_lys-L_c,-13.8155105579643,-2.99573227355399,-8.28054129007724,-7.7833840291374,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_mal-L_c,-13.8155105579643,-2.99573227355399,-9.94222838085256,-9.32350907008182,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_malcoa_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_met-L_c,-13.8155105579643,-2.99573227355399,-10.5974350532668,-10.1617402809639,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_mlthf_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_mql8_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_mqn8_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_mththf_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_nad_c,-13.8155105579643,-2.99573227355399,-7.97778011079833,-6.81517609768904,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_nadh_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-11.3725629839271,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_nadp_c,-13.8155105579643,-2.99573227355399,-9.98904544089777,-8.95802644336219,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
